gene	log2FC
SYK	3.146
MAP2K1	-1.411
CCND1	-4.38
CDH1	-2.565
CXCL8	-4.955
MET	-0.594
PCNA	-1.18
PIK3CA	-4.679
CDK2	0.411
FOS	-3.156
CCNE1	1.903
NOTCH1	2.912
IL10	-0.242
TP53	-4.528
PCNA	0.409
FOS	-0.639
JUN	0.662
CXCL8	3.57
E2F1	3.339
E2F1	-1.329
CDK4	0.202
SYK	2.316
BRCA2	3.476
CDK2	4.646
MAPK3	2.466
MYC	0.605
AKT1	3.108
KIT	0.566
CDK6	-3.011
SHC1	4.544
CCNE1	1.255
MET	-3.99
MDM2	0.28
MAP2K1	-1.992
TNF	1.25
MKI67	-2.973
FGFR2	-1.758
VEGFA	3.989
FOS	-4.262
SRC	4.53
STAT3	5.0
MYC	-3.847
E2F1	-0.496
ERBB2	3.944
SHC1	3.771
SOS1	1.006
MAPK3	-1.668
MDM2	4.209
KRAS	2.941
BRCA1	-2.857
GRB2	-1.746
STAT3	-3.165
IL10	-0.181
TNF	-3.107
CDK2	-0.926
E2F1	-3.605
IL10	-4.181
RAF1	-1.09
RB1	-1.908
E2F2	-0.997
HIF1A	-3.051
PIK3CA	-0.715
BRCA2	0.119
VEGFA	-2.304
VEGFA	-2.38
FGFR1	-1.146
MDM2	-4.602
CDKN1A	-1.567
MAPK3	1.646
CDK2	-4.537
NFKB1	1.218
MKI67	0.772
IL6	-1.922
SRC	-4.744
AKT1	2.992
BRCA1	1.107
SYK	-0.912
VEGFA	1.106
SRC	-2.537
CCNE1	-2.465
AKT1	4.335
PTEN	-1.084
BRCA2	3.515
BRCA1	1.627
NOTCH1	4.098
TNF	1.539
AKT1	-2.527
NRAS	1.318
TNF	-1.069
CDH1	4.856
CDKN1A	0.177
MAPK1	-4.648
FOS	-2.6
KRAS	-1.997
NFKB1	2.126
GRB2	1.439
ERBB2	-4.349
AKT1	1.992
TP53	2.331
SYK	-3.928
REL	-3.712
KIT	-3.376
HIF1A	-1.313
CCNE1	4.541
MKI67	2.37
FGFR2	3.946
PCNA	4.702
FGFR2	3.287
HIF1A	2.827
STAT3	2.403
MYC	-3.995
ERBB2	0.951
TERT	-1.26
MET	2.577
AKT1	-4.227
LCK	-3.887
MKI67	4.492
VHL	2.758
CDK6	1.489
SRC	-3.591
FOS	-1.763
FGFR3	-3.268
E2F1	-2.236
FOS	-2.504
CCNE1	0.591
SMAD4	-4.187
IL10	-4.54
CDKN1A	1.856
MYC	-2.942
MAPK3	-0.02
FGFR1	-1.322
CDK6	3.784
CDKN1B	-3.583
MAPK3	-2.979
BRAF	-4.96
E2F2	-0.401
SHC1	3.265
MKI67	4.871
RB1	3.013
FGFR1	-2.867
CDH1	0.576
BRAF	1.486
RAF1	3.159
PIK3CA	0.562
REL	-3.453
CDH1	3.447
JUN	4.857
NFKB1	-2.229
HIF1A	4.544
ABL1	2.215
GRB2	-2.138
RAF1	2.96
FGFR2	-1.349
PCNA	1.431
CXCL8	-1.616
PIK3CA	1.724
PTEN	0.109
BRAF	0.737
SRC	-1.772
NOTCH1	-3.931
IL6	-0.397
TNF	-4.26
SOS1	-1.535
KIT	-4.202
FGFR3	-0.78
NOTCH1	1.849
CCNE1	0.723
VEGFA	-4.962
MAPK3	-4.272
HRAS	1.826
NRAS	4.769
GRB2	-1.415
JAK2	-2.987
PTEN	0.411
NFKB1	-2.128
JAK2	-4.823
TERT	-1.713
IL10	4.879
RB1	-2.422
PIK3CA	-4.251
TNF	-3.292
SRC	3.011
CXCL8	0.249
PTEN	4.516
VEGFA	2.121
ABL1	0.06
CXCL8	-4.953
CCNE1	-2.168
GATA3	-1.884
CDKN1A	4.556
BRAF	0.885
FGFR3	-2.647
KIT	1.514
MAP2K2	0.501
PCNA	0.092
MKI67	-0.123
MDM2	3.996
SRC	-4.393
SMAD4	4.927
GRB2	3.918
REL	0.679
MAP2K1	-2.898
NFKB1	-4.781
SRC	4.828
CXCL8	0.678
SOS1	4.837
FOS	-3.512
ERBB2	3.902
MAP2K1	-0.51
FGFR2	3.072
SOS1	2.702
TP53	-2.831
EGFR	2.063
RB1	-4.345
TNF	2.708
CDH1	-0.448
ERBB2	1.812
TP53	2.371
RAF1	-3.602
FGFR1	-0.321
IL10	-4.808
IL10	3.088
NFKB1	-4.579
IL10	-2.924
JAK2	2.34
SHC1	1.873
MDM2	2.962
MET	-4.856
GATA3	1.623
MAPK3	4.268
TP53	3.729
RAF1	-4.582
KRAS	1.29
CDK6	4.738
TP53	0.975
NRAS	-3.223
ABL1	2.729
CXCL8	4.711
HIF1A	-4.287
PDGFRA	2.884
AKT1	1.608
EGFR	1.552
MAP2K1	-2.444
SHC1	3.915
MAP2K2	-2.219
FOS	-1.619
MAPK1	-4.128
APC	0.512
IL6	-2.893
CDK2	4.541
CCNE1	0.949
TNF	-3.171
CDKN2A	-1.256
CDKN2A	-0.698
CXCL8	0.247
VEGFA	-0.389
BRCA2	0.076
NOTCH1	2.913
RB1	-2.199
TNF	-3.256
CXCL8	-3.895
TERT	-2.198
NRAS	4.621
PCNA	2.889
FGFR1	-0.268
MKI67	0.991
LCK	4.418
BRCA1	-4.081
VHL	-2.821
BRCA2	4.583
BRAF	0.721
RAF1	1.367
HRAS	-2.939
CDH1	-4.173
NRAS	0.984
HIF1A	-1.796
CDK2	1.994
IL10	1.336
PIK3CA	4.271
KRAS	-0.805
FGFR1	0.098
HIF1A	4.406
AKT1	-2.967
ABL1	-2.546
KIT	4.928
AKT1	-1.506
IL6	-1.908
JAK2	4.726
SYK	-1.632
CCND1	-0.333
HIF1A	-4.817
APC	-0.969
CDKN2A	1.32
CCND1	0.642
TP53	0.375
SRC	2.595
CCND1	0.342
REL	-3.338
NOTCH1	-0.349
CDK6	-1.642
RAF1	4.985
LCK	3.831
REL	-3.528
PCNA	4.194
CCNE1	3.603
MKI67	2.887
BRAF	3.922
PIK3CA	4.845
HIF1A	2.462
PCNA	-0.301
SRC	-1.502
FGFR1	-3.719
BRCA1	0.278
AKT1	1.105
AKT1	-1.469
MYC	0.615
RB1	0.891
MAP2K2	-0.721
CXCL8	-2.705
CDKN2A	3.737
E2F2	-3.665
SHC1	-2.615
ABL1	-1.761
SMAD4	4.747
CCNE1	-3.824
IL10	-0.624
BRAF	-3.702
BRCA1	-0.161
STAT3	2.43
PIK3CA	-4.199
MAPK3	-0.505
MKI67	-1.275
CCNE1	-0.974
FOS	-0.884
NOTCH1	-0.627
CDKN1A	-2.317
SOS1	4.151
PTEN	1.236
VEGFA	3.183
MKI67	1.534
JAK2	-4.212
MAPK3	-4.115
CDK6	-1.76
FGFR1	-1.046
MDM2	2.627
E2F2	-2.655
CDH1	3.436
PIK3CA	-1.71
SMAD4	2.676
ERBB2	-3.398
TERT	3.831
CDKN1B	2.066
CDKN1A	2.942
IL10	-4.114
CCND1	1.648
FGFR3	1.025
NOTCH1	-2.716
FGFR3	-4.595
EGFR	0.398
NRAS	1.982
LCK	-4.815
AKT1	2.142
PIK3CA	4.658
EGFR	1.824
E2F2	1.704
MAP2K2	-1.015
IL10	4.332
CXCL8	4.71
SYK	3.101
RAF1	3.825
PIK3CA	0.081
BRAF	-0.329
PCNA	-3.958
PTEN	0.284
IL10	4.857
MET	-1.126
APC	4.695
CCNE1	-0.687
ABL1	4.541
FGFR1	-3.237
ABL1	1.942
MET	-1.199
FGFR2	-3.937
TERT	1.52
STAT3	1.06
REL	3.214
CDKN1B	0.137
CCNE1	4.322
CDK4	-0.023
CDH1	0.575
FGFR3	1.04
SYK	3.15
GRB2	1.799
E2F1	0.463
GATA3	-3.95
EGFR	2.357
ERBB2	2.628
CCNE1	2.484
KRAS	0.832
KIT	-1.616
CDKN1B	3.847
FOS	1.991
RAF1	-3.716
KIT	-0.134
PIK3CA	2.462
PCNA	4.893
TP53	-2.866
TERT	-1.665
PTEN	1.609
CDKN2A	2.147
SRC	2.246
PDGFRA	1.324
CDK4	-4.88
REL	4.853
CDKN2A	2.842
CDH1	-0.684
GRB2	-4.953
CXCL8	-3.545
RAF1	3.745
APC	-4.811
PDGFRA	4.444
CXCL8	0.004
CDKN2A	-2.796
ERBB2	-1.626
KIT	0.905
CDK2	2.918
ERBB2	-4.539
CDK4	3.273
BRCA1	-2.586
MAPK1	2.668
CCNE1	-1.471
KIT	2.562
PDGFRA	4.678
STAT3	3.967
MKI67	0.459
SHC1	1.412
PDGFRA	0.983
ABL1	-1.246
CCND1	-4.268
TP53	-2.73
STAT3	-3.305
ERBB2	-1.858
TNF	-4.575
CDK6	0.917
CDH1	-2.752
FOS	3.831
TNF	2.894
CXCL8	0.808
ERBB2	1.65
ERBB2	2.094
GATA3	3.037
IL10	-2.106
IL6	0.11
PIK3CA	0.641
BRAF	0.312
SMAD4	2.887
NRAS	3.225
MAPK1	-1.075
JUN	0.679
E2F2	-2.831
CDKN1B	-3.179
LCK	-3.894
IL6	-0.554
E2F2	-0.47
FGFR2	4.026
SOS1	-3.158
CDKN2A	2.666
BRAF	0.428
HRAS	-3.964
HRAS	-0.089
MDM2	4.688
JAK2	2.038
BRCA2	0.4
CCNE1	1.635
CCNE1	-3.543
NFKB1	-3.061
BRCA2	2.834
MAP2K1	-2.985
FGFR1	-3.448
CDK6	-1.984
CCNE1	-0.866
TNF	3.518
MAPK1	0.096
HIF1A	-1.311
TNF	-4.092
CCNE1	0.957
PCNA	0.08
SOS1	4.022
CCNE1	0.167
PCNA	1.948
JAK2	3.542
CCND1	-1.194
STAT3	3.838
NRAS	-2.534
TERT	-0.908
SYK	4.876
MAP2K1	-3.103
CDKN1A	-4.181
CDH1	-1.613
JAK2	3.643
PDGFRA	-3.107
JUN	2.262
NRAS	-1.889
SYK	-1.523
VEGFA	-1.756
MAPK3	-3.873
GRB2	1.621
SYK	-3.495
PIK3CA	-4.094
SMAD4	-4.562
LCK	3.924
ERBB2	-1.63
AKT1	-2.215
NRAS	-4.123
SYK	1.006
CXCL8	2.037
CCND1	1.946
RB1	-4.276
NRAS	0.959
E2F2	-0.777
IL6	4.145
AKT1	-1.66
E2F1	-1.666
MAP2K1	-4.514
STAT3	-3.891
TP53	-4.065
MKI67	4.991
PTEN	2.209
MDM2	0.499
MYC	-2.638
SOS1	3.73
JUN	-1.064
MKI67	-3.559
TP53	-3.486
TERT	-0.714
SMAD4	-1.336
FGFR2	4.968
CCND1	2.194
MAP2K2	0.758
MAPK1	-0.603
LCK	-4.582
GATA3	4.397
TNF	-0.68
E2F2	4.04
FGFR3	-4.599
MAP2K2	3.926
ABL1	4.893
CCNE1	3.872
NRAS	1.8
E2F1	4.938
CDKN2A	0.395
RB1	3.925
IL10	-4.869
CDKN2A	2.284
JUN	-2.057
ERBB2	-0.002
CDKN1B	-4.549
VEGFA	0.745
FGFR2	3.571
HIF1A	-1.518
SHC1	0.057
TP53	1.963
SYK	-4.147
JAK2	0.458
CDKN2A	-3.304
E2F1	1.356
TNF	-3.946
MAP2K1	2.691
CDH1	1.312
CXCL8	-4.233
MET	1.109
APC	-1.319
RAF1	0.39
MDM2	1.514
CDK6	-3.003
SRC	-3.565
JUN	-4.119
TERT	3.209
TNF	4.119
CCND1	-3.413
SYK	-1.527
MAP2K1	4.602
KRAS	-4.636
SOS1	-1.574
EGFR	1.498
GATA3	-0.236
CXCL8	-3.073
PCNA	-1.101
IL6	3.884
GRB2	-3.954
EGFR	3.794
CCNE1	3.678
E2F2	1.498
MET	-1.294
CDKN1A	-4.012
CXCL8	3.81
GRB2	3.837
JUN	-4.418
CCNE1	-0.417
FOS	3.0
TERT	-4.103
EGFR	-1.499
EGFR	-3.179
NFKB1	-1.136
HRAS	0.944
MAPK3	-4.097
BRCA1	-1.847
JUN	-4.261
GRB2	-4.594
CDKN1B	1.596
FGFR1	-3.096
SMAD4	0.925
SRC	4.893
FGFR3	-1.382
MKI67	0.496
SHC1	3.287
MAP2K1	-1.675
NFKB1	4.373
IL6	-4.084
MYC	3.65
MAPK3	4.894
ERBB2	0.21
ERBB2	2.51
TERT	-0.55
RB1	-1.16
MAP2K2	3.269
GRB2	4.803
HRAS	1.308
VEGFA	3.607
GRB2	0.282
TP53	3.359
VEGFA	1.957
ERBB2	4.819
REL	-3.143
VHL	2.304
FGFR3	-4.674
IL6	-4.338
FOS	3.671
MAP2K1	0.912
ABL1	-4.138
VHL	3.11
VEGFA	-1.389
CDKN2A	1.737
BRCA1	-0.936
CDH1	-1.066
JAK2	4.756
SRC	2.427
PTEN	-4.327
CDK4	2.088
AKT1	-2.966
PDGFRA	4.251
NOTCH1	2.409
SMAD4	1.892
E2F1	-3.78
ABL1	2.84
E2F1	-0.238
MAPK3	2.175
BRAF	2.959
FGFR1	0.026
HIF1A	0.391
ABL1	2.492
GATA3	-0.466
VEGFA	-4.746
MAP2K2	4.513
E2F2	-4.309
ERBB2	-2.46
SOS1	3.826
CDK4	-2.12
CXCL8	-2.057
GRB2	-1.573
FGFR3	0.728
HIF1A	-2.974
PCNA	2.216
GRB2	-2.459
E2F1	2.32
JUN	-3.968
PIK3CA	-0.274
E2F2	1.915
PCNA	-4.064
TP53	-3.503
MKI67	-2.277
JAK2	-1.377
KIT	-3.308
CDK4	-0.048
SMAD4	2.774
KIT	-1.02
CDKN1A	-0.928
SMAD4	-1.612
VEGFA	-4.594
NOTCH1	3.571
KRAS	1.188
SOS1	-2.265
BRAF	1.391
RAF1	-0.517
IL10	4.198
PTEN	-3.299
APC	-3.989
REL	-0.579
CDH1	-3.123
IL6	0.401
MAP2K2	-0.222
MAPK3	-3.856
TERT	1.472
JAK2	1.215
BRCA1	-2.962
JAK2	4.413
ERBB2	0.474
PIK3CA	-0.451
VHL	-1.857
SMAD4	-3.15
NFKB1	1.245
MDM2	0.734
SYK	-1.455
APC	-4.725
FGFR3	-2.346
MET	-2.365
CDKN2A	-0.958
GRB2	-3.215
CDK6	-0.134
BRCA1	4.292
PIK3CA	2.551
PIK3CA	-2.285
CDKN1B	2.842
TERT	1.65
HRAS	1.325
E2F1	0.5
CDKN2A	-4.29
ABL1	-4.62
VEGFA	1.025
MDM2	4.572
EGFR	1.273
KIT	4.842
NFKB1	-4.269
CXCL8	-4.923
E2F1	-2.58
IL6	-4.622
FOS	3.069
CDK6	3.599
RAF1	-0.53
TP53	-4.668
CDKN1A	-3.812
TERT	1.133
CDKN2A	-1.88
E2F2	1.775
REL	4.656
NRAS	-2.887
TP53	-4.762
BRCA2	4.021
RAF1	-2.978
SOS1	4.47
IL6	-0.057
SHC1	1.94
CDK2	-4.844
EGFR	1.753
PDGFRA	2.535
TERT	-4.106
RAF1	3.221
SYK	-1.965
FGFR2	-4.914
KRAS	0.961
ERBB2	-3.954
NOTCH1	-3.789
BRCA1	0.181
CCNE1	-1.701
FOS	1.989
MET	1.296
AKT1	4.162
CXCL8	0.673
KRAS	-2.585
MAP2K1	2.927
RAF1	-0.149
MKI67	-1.747
KIT	-1.303
AKT1	-0.814
FOS	3.713
CCND1	-3.277
ERBB2	-1.456
LCK	-2.324
FGFR2	-4.891
GATA3	2.723
PCNA	4.783
TNF	-0.389
FGFR1	-4.207
VEGFA	1.511
SYK	4.787
KIT	2.427
SOS1	-2.471
PCNA	2.649
ERBB2	3.997
SHC1	0.913
MKI67	-4.658
ERBB2	-4.761
BRCA1	-4.813
HIF1A	-4.593
CDK2	-1.374
SHC1	4.595
PCNA	0.256
PIK3CA	4.094
FGFR1	0.166
HRAS	0.345
GATA3	1.062
E2F1	-0.611
MAP2K2	1.657
PIK3CA	-1.153
RAF1	-1.99
MAPK3	-4.679
JAK2	-1.422
CDK6	-4.755
CDKN1A	3.698
PTEN	-0.02
STAT3	4.206
MET	1.139
GATA3	-3.944
CDK4	0.84
RB1	0.713
ERBB2	-3.835
PDGFRA	2.452
JUN	-4.658
BRAF	-3.451
HIF1A	-3.126
VEGFA	-3.5
ABL1	3.603
CDK4	1.533
PCNA	-3.65
FOS	1.816
KRAS	3.029
CXCL8	1.45
NFKB1	3.064
SHC1	-3.914
E2F1	1.861
CDKN1A	3.798
SHC1	1.223
HIF1A	2.016
CDKN2A	3.232
RB1	4.417
BRCA1	-0.079
PCNA	-1.733
CDKN1A	-0.086
MET	-1.464
PTEN	1.988
RB1	-1.589
BRCA2	-2.921
VHL	-4.111
MAPK1	-4.013
SRC	4.252
TP53	-0.297
IL10	-4.496
ERBB2	2.735
APC	3.626
E2F1	-1.532
AKT1	-4.081
JUN	0.687
GATA3	2.147
CDK6	3.608
CDH1	1.885
MET	4.942
RAF1	-1.309
MAP2K1	1.674
E2F1	3.845
ERBB2	3.666
CCNE1	-0.831
FGFR1	-4.209
CDKN2A	-0.557
SOS1	4.075
MAP2K1	1.812
SHC1	2.631
MYC	-4.866
MAP2K1	4.955
MYC	-3.121
CDK4	-0.961
STAT3	-0.602
TERT	1.442
MYC	-2.875
PDGFRA	2.804
FGFR1	2.217
CDKN1B	-2.085
REL	0.714
MAPK1	-0.265
MKI67	-3.704
CDK2	2.448
VEGFA	-4.93
TERT	4.35
MAP2K2	2.686
AKT1	-0.095
SMAD4	-3.756
CDKN1A	1.847
MAP2K1	0.038
STAT3	1.964
RB1	-0.963
FOS	-3.441
NFKB1	-0.29
CDK4	-3.362
CDH1	-0.288
MAP2K2	0.401
PTEN	1.301
NFKB1	1.968
CDKN1B	-1.08
SOS1	0.073
CCNE1	4.55
SMAD4	3.063
BRCA2	4.816
AKT1	1.422
TNF	-1.355
CDKN1B	2.436
IL6	0.657
CCND1	4.058
FGFR1	2.618
MKI67	-3.752
NOTCH1	2.472
KIT	1.194
CDK2	-1.538
EGFR	0.104
BRAF	1.129
EGFR	-4.189
APC	-1.116
TP53	-3.237
CDK6	-0.093
BRCA2	-3.639
JAK2	-4.43
GATA3	2.985
CDKN1A	4.563
ERBB2	3.168
JUN	-2.848
HRAS	-2.271
CDKN1A	4.086
E2F2	3.309
CDK2	0.655
MDM2	-1.659
FGFR1	1.686
JUN	-4.628
MAPK3	-4.942
CCNE1	-3.416
KIT	-4.71
E2F1	0.297
PCNA	2.751
CXCL8	2.315
PCNA	4.573
CDKN2A	-4.709
PCNA	2.632
SYK	0.521
GATA3	0.908
GATA3	1.545
RAF1	0.616
CDKN2A	-3.46
ERBB2	-1.73
CDK6	4.984
SRC	-2.159
TP53	-0.66
CDH1	1.569
GRB2	3.482
MYC	2.743
GRB2	-0.293
KRAS	-4.816
NFKB1	0.877
BRAF	-4.963
PIK3CA	0.224
BRAF	-2.049
CDK4	-1.786
MAP2K1	3.39
SHC1	0.115
MAP2K1	-3.389
PIK3CA	-0.123
MYC	-1.84
BRCA2	-2.033
TP53	-3.444
PTEN	-3.8
EGFR	3.229
BRCA2	2.227
CDK4	0.651
CXCL8	-1.169
CCND1	-2.737
GRB2	1.001
IL6	-1.13
KIT	-1.25
PIK3CA	-1.041
APC	0.841
MKI67	0.687
SHC1	1.48
MAPK3	-0.725
NRAS	3.824
IL6	4.688
PIK3CA	-2.178
CDK4	2.896
NOTCH1	4.002
CDKN1B	-4.018
TERT	0.861
AKT1	3.811
FGFR1	1.314
CDH1	-4.752
PIK3CA	0.908
PTEN	-3.519
CDKN1B	4.39
BRCA2	-0.347
MYC	-0.628
TP53	-2.57
NRAS	-1.014
CDK4	2.481
SHC1	0.587
APC	2.577
FGFR3	0.585
E2F1	2.869
GATA3	-0.651
VHL	2.995
PCNA	-3.711
BRCA2	-0.647
APC	4.164
CCNE1	-1.224
TNF	-2.314
ERBB2	-0.594
PDGFRA	4.354
FOS	2.306
TP53	-2.309
PIK3CA	1.826
REL	3.521
RB1	4.241
HRAS	-4.159
HIF1A	3.604
NOTCH1	4.606
PIK3CA	-3.719
JUN	-1.941
MAPK3	-1.83
TERT	-1.49
PIK3CA	1.411
HIF1A	1.618
HRAS	-4.36
PCNA	2.093
KRAS	0.427
HRAS	-4.848
TERT	-0.061
ABL1	3.549
MAPK3	4.579
BRCA2	2.859
CDH1	-4.052
GRB2	3.591
BRAF	-2.292
CDK4	-2.941
E2F2	-0.484
CXCL8	1.627
VEGFA	-0.289
CDH1	4.293
EGFR	-2.264
MET	-4.502
MAPK1	0.016
PDGFRA	3.123
JAK2	0.78
PIK3CA	0.106
EGFR	-3.84
EGFR	-4.381
BRCA1	3.515
FGFR1	-4.928
JAK2	-4.643
JAK2	-1.912
EGFR	0.122
BRCA2	0.031
SRC	4.899
MAP2K2	0.733
MET	-2.899
CXCL8	-4.54
TERT	3.139
CCNE1	4.167
PCNA	-3.159
BRCA1	2.262
E2F1	2.562
PCNA	0.697
SHC1	-4.942
SMAD4	-4.511
CCND1	4.514
MAP2K2	0.947
MAP2K2	3.928
LCK	-3.779
REL	3.383
TNF	-0.633
VHL	-1.205
KRAS	-4.062
SYK	-0.89
HRAS	0.171
TERT	-2.138
APC	1.01
CDK6	4.589
IL10	1.562
GATA3	-2.123
FGFR1	-1.075
REL	4.974
CCND1	1.842
CDK6	1.472
E2F2	2.016
TERT	-2.678
SRC	4.845
HIF1A	1.018
MKI67	2.003
CDKN1B	-3.918
MAPK3	-3.449
FGFR1	2.944
IL6	-0.872
SYK	4.775
CCND1	3.078
NFKB1	-3.689
MDM2	-3.937
ERBB2	-0.222
SMAD4	2.613
FGFR2	0.354
CDKN1A	0.621
KRAS	-4.26
CDH1	-2.069
NRAS	-1.935
MYC	-0.33
KIT	1.342
GRB2	0.274
BRCA1	4.695
ABL1	4.262
VHL	4.148
MDM2	-1.988
NOTCH1	0.99
CDKN1A	-1.075
VHL	-2.925
REL	-3.523
TNF	1.227
STAT3	-4.58
SHC1	2.229
BRCA2	0.87
BRCA2	0.916
IL10	0.901
SHC1	0.898
PIK3CA	-0.57
ERBB2	4.947
HIF1A	-1.667
SOS1	1.031
FGFR2	-2.223
REL	1.737
NOTCH1	1.528
VEGFA	1.041
MYC	1.744
VHL	-2.44
MAP2K2	1.218
LCK	0.752
AKT1	4.083
SMAD4	-0.322
CDKN1B	4.861
E2F2	0.725
STAT3	-4.707
